Date,Open,High,Low,Close,Adj Close,Volume
5/4/2022,37748.01172,39902.94922,37732.05859,39698.37109,39698.37109,36754404490
5/5/2022,39695.74609,39789.28125,35856.51563,36575.14063,36575.14063,43106256317
5/6/2022,36573.18359,36624.35938,35482.13281,36040.92188,36040.92188,37795577489
5/7/2022,36042.50391,36129.92578,34940.82422,35501.95313,35501.95313,24375896406
5/8/2022,35502.94141,35502.94141,33878.96484,34059.26563,34059.26563,36763041910
5/9/2022,34060.01563,34222.07422,30296.95313,30296.95313,30296.95313,63355494961
5/10/2022,30273.6543,32596.30859,29944.80273,31022.90625,31022.90625,59811038817
5/11/2022,31016.18359,32013.40234,28170.41406,28936.35547,28936.35547,70388855818
5/12/2022,28936.73438,30032.43945,26350.49023,29047.75195,29047.75195,66989173272
5/13/2022,29030.91016,30924.80273,28782.33008,29283.10352,29283.10352,42841124537
5/14/2022,29285.64258,30192.80273,28702.91016,30101.26563,30101.26563,28579868620
5/15/2022,30098.58594,31308.19141,29527.74023,31305.11328,31305.11328,25835372065
5/16/2022,31304.375,31305.3418,29251.88477,29862.91797,29862.91797,32613897286
5/17/2022,29862.4082,30694.49023,29570.30273,30425.85742,30425.85742,29101473475
5/18/2022,30424.47852,30618.7168,28720.27148,28720.27148,28720.27148,31285268319
5/19/2022,28720.35938,30430.75195,28708.95508,30314.33398,30314.33398,33773447707
5/20/2022,30311.11914,30664.97656,28793.60547,29200.74023,29200.74023,30749382605
5/21/2022,29199.85938,29588.86914,29027.39453,29432.22656,29432.22656,17274840442
5/22/2022,29432.47266,30425.86133,29275.18359,30323.72266,30323.72266,21631532270
5/23/2022,30309.39648,30590.58594,28975.56055,29098.91016,29098.91016,31483454557
5/24/2022,29101.125,29774.35547,28786.58984,29655.58594,29655.58594,26616506245
5/25/2022,29653.13477,30157.78516,29384.94922,29562.36133,29562.36133,27525063551
5/26/2022,29564.77734,29834.16016,28261.90625,29267.22461,29267.22461,36774325352
5/27/2022,29251.14063,29346.94336,28326.61328,28627.57422,28627.57422,36582005748
5/28/2022,28622.625,28814.90039,28554.56641,28814.90039,28814.90039,35519577634
5/29/2022,29019.86719,29498.00977,28841.10742,29445.95703,29445.95703,18093886409
5/30/2022,29443.36523,31949.63086,29303.57227,31726.39063,31726.39063,39277993274
5/31/2022,31723.86523,32249.86328,31286.1543,31792.31055,31792.31055,33538210634
6/1/2022,31792.55469,31957.28516,29501.58789,29799.08008,29799.08008,41135817341
6/2/2022,29794.89063,30604.73438,29652.70508,30467.48828,30467.48828,29083562061
6/3/2022,30467.80664,30633.03516,29375.68945,29704.39063,29704.39063,26175547452
6/4/2022,29706.13867,29930.56445,29500.00586,29832.91406,29832.91406,16588370958
6/5/2022,29836.29297,29869.66211,29690.61523,29805.44141,29805.44141,16117239808
